province,harvest_year,tmean_season,tmax_season,tmin_season,rain_season_sum,rad_season_mean,tmean_mam,tmax_mam,tmin_mam,rain_mam_sum,rad_mam_mean
Kastamonu,2013,11.872651315789474,15.849861842105264,8.578677631578948,569.426,13.957605263157895,11.574978260869564,15.882760869565217,7.727260869565217,163.44,17.30408695652174
Kastamonu,2014,11.41182894736842,15.726625,7.925539473684211,445.888,14.158756578947367,11.477934782608695,15.961434782608695,7.5685652173913045,153.328,16.32967391304348
Kastamonu,2015,10.347782894736843,13.959861842105262,7.273085526315789,718.586,13.365322368421053,9.39036956521739,13.25291304347826,5.872260869565218,174.508,16.83908695652174
Kastamonu,2016,11.334209836065574,15.168426229508196,8.08215737704918,694.432,13.887311475409836,11.224782608695653,15.429065217391303,7.372217391304348,210.66,16.636391304347825
Kastamonu,2017,9.706598684210526,13.49466447368421,6.391217105263158,643.536,14.078236842105262,10.075869565217392,14.240847826086956,6.3590217391304344,151.766,17.4325
Kastamonu,2018,12.009717105263158,16.04463157894737,8.673144736842104,689.37,13.834059210526316,12.5085,16.743347826086957,8.761065217391305,207.20000000000002,17.24563043478261
Kastamonu,2019,11.08854605263158,14.927039473684209,7.980901315789474,655.836,13.77163157894737,10.434717391304348,14.566173913043478,6.831760869565218,150.456,17.080978260869564
Kastamonu,2020,11.500813114754099,15.574531147540984,8.158118032786886,662.484,14.403455737704919,10.200391304347827,14.551673913043476,6.260956521739131,147.688,17.936891304347824
Kastamonu,2021,11.457861842105263,15.476092105263158,8.22246052631579,597.362,13.797296052631578,9.51304347826087,13.627021739130434,5.822521739130435,216.272,16.48432608695652
Kastamonu,2022,10.099434210526317,13.814519736842104,6.929506578947369,790.218,13.840131578947368,8.579695652173912,12.36063043478261,5.122847826086956,175.498,17.26208695652174
Kastamonu,2023,11.364730263157895,15.174815789473685,8.267690789473685,656.63,13.16582894736842,10.017695652173913,13.714152173913044,6.8500434782608695,253.176,14.387260869565216
