province_norm,harvest_year,ndvi_auc,ndvi_max,ndvi_mean,evi_max,evi_mean
MALATYA,2023,123.76959612438716,0.6204284420176012,0.4084805152620052,0.4497872579405699,0.2687648828910437
MALATYA,2024,114.65720614360569,0.581226848627765,0.377161862314492,0.4400483419301081,0.2402271193130839
MANISA,2005,113.50064538146461,0.6035334130535658,0.3745895887177042,0.43982388950211054,0.23201982453803974
MANISA,2006,115.45138760281866,0.5896372010129989,0.3810276818574868,0.43027332952716835,0.2366216030735211
MANISA,2007,122.29061333395552,0.5979618269096078,0.4035993839404471,0.43047407943384364,0.2491835871814261
MANISA,2008,121.24644065323736,0.6051810230075737,0.398836975833018,0.4391035137676294,0.2494713205779182
MANISA,2009,126.63843514057773,0.6201976167818567,0.4179486308269893,0.4541113147910863,0.2666027251418665
MANISA,2010,135.2188276499761,0.6364886881968954,0.44626675792071235,0.4573978508841466,0.2794417994046194
MANISA,2011,141.1297174451555,0.6480141482531021,0.4657746450335164,0.47114810853278183,0.2944183483304871
MANISA,2012,122.48705321530252,0.5988954137569586,0.4029179382082318,0.43380318422889547,0.2495087389237551
MANISA,2013,126.9866190207244,0.6372709934405647,0.4190977525436446,0.46527951657492167,0.2641584729874066
MANISA,2014,130.08791528351009,0.6283688029121448,0.4293330537409576,0.45183852721610085,0.2679491082819118
MANISA,2015,139.41626246037802,0.6469782529740158,0.4601196780870558,0.46662970213919697,0.2872041927831311
MANISA,2016,123.43246050603751,0.6109700191880967,0.4060278306119648,0.45108039489358204,0.2559889418637587
MANISA,2017,115.68528117899056,0.6107564365538048,0.3817996078514536,0.44486183885939845,0.239075573391289
MANISA,2018,134.92456426296295,0.6649907718170651,0.44529559162694,0.4831205211578683,0.2805197868183958
MANISA,2019,126.0859879112917,0.6093385439128817,0.4161253726445268,0.4539114256668845,0.2629030691971785
MANISA,2020,131.55347012174005,0.6451769084565268,0.4327416780320398,0.4747404029481019,0.272245215116098
MANISA,2021,131.6384031444887,0.6354864730672453,0.4344501753943518,0.46527589364278266,0.2771774681703514
MANISA,2022,136.24786870361874,0.6213226046168331,0.4496629330152436,0.45132483109104715,0.2849244231022753
MANISA,2023,132.06775494286725,0.660751602705163,0.4358671780292651,0.4769298827082251,0.2702693489312368
MANISA,2024,139.1540253425606,0.6509599313032147,0.45774350441631745,0.4706202220109124,0.283601709294311
MARDIN,2005,98.77670325921025,0.6798765268350824,0.3259957203274271,0.5029570225844473,0.19812522169068558
MARDIN,2006,99.07470360880144,0.6948131612587016,0.3269792198310273,0.5013729835041033,0.1996139612063862
MARDIN,2007,102.61058812245166,0.756279183036161,0.3386488056846584,0.557568965454834,0.2097727628391605
MARDIN,2008,83.26534170860319,0.5413445530415574,0.2738991503572469,0.3886040830924249,0.164748923237648
MARDIN,2009,110.12732787018145,0.7407183687387069,0.3634565276243606,0.5624970532953935,0.2308167152680093
MARDIN,2010,120.15414684581418,0.7528492986784979,0.3965483394251292,0.5713038935117816,0.2530099522266371
MARDIN,2011,113.95948556411165,0.742958868418656,0.376103912752844,0.5685421274583543,0.2431060457525042
MARDIN,2012,108.61783600277886,0.7296180657472855,0.3572955131670356,0.5365195555448141,0.2173512815599544
MARDIN,2013,125.46398463842635,0.7639073949293429,0.4140725565624621,0.5730295991587282,0.2549025017328986
MARDIN,2014,117.89154865608072,0.7660428157413327,0.3890810186669325,0.583583913527644,0.2458976535542807
MARDIN,2015,127.73135814295908,0.789120054212051,0.4215556374355074,0.6220172032308715,0.2658059647452542
MARDIN,2016,123.87464413494132,0.7943655603307493,0.4074823820228327,0.6235166164475792,0.2599456153216169
MARDIN,2017,109.46132815387456,0.7675547097175613,0.36125850875866233,0.593174865039222,0.2277445377372202
MARDIN,2018,115.37783287068412,0.7305837071578024,0.3807849269659543,0.5724481809353837,0.2420007481284548
MARDIN,2019,127.6716484049356,0.736950469632168,0.4213585755938466,0.5444008052102016,0.257473306093098
MARDIN,2020,128.56402627875636,0.7844969890074343,0.4229079811801196,0.6138118850308186,0.2732267153182044
MARDIN,2021,119.49373853213343,0.742234101076751,0.3943687740334431,0.5636535398314274,0.2532516172807837
