province,province_norm,harvest_year,yield_kg_dekar
Hatay,HATAY,2010,323.0
Isparta,ISPARTA,2010,187.0
Iğdır,IGDIR,2010,187.0
Kahramanmaraş,KAHRAMANMARAS,2010,198.0
Karabük,KARABUK,2010,145.0
Karaman,KARAMAN,2010,162.0
Kars,KARS,2010,104.0
Kastamonu,KASTAMONU,2010,151.0
Kayseri,KAYSERI,2010,180.0
Kilis,KILIS,2010,175.0
Kocaeli,KOCAELI,2010,212.0
Konya,KONYA,2010,217.0
Kütahya,KUTAHYA,2010,179.0
Kırklareli,KIRKLARELI,2010,283.0
Kırıkkale,KIRIKKALE,2010,213.0
Kırşehir,KIRSEHIR,2010,256.0
Malatya,MALATYA,2010,144.0
Manisa,MANISA,2010,196.0
Mardin,MARDIN,2010,313.0
Mersin,MERSIN,2010,180.0
Muğla,MUGLA,2010,216.0
Muş,MUS,2010,165.0
Nevşehir,NEVSEHIR,2010,234.0
Niğde,NIGDE,2010,205.0
Ordu,ORDU,2010,103.0
Osmaniye,OSMANIYE,2010,501.0
Sakarya,SAKARYA,2010,213.0
Samsun,SAMSUN,2010,244.0
Siirt,SIIRT,2010,237.0
Sinop,SINOP,2010,224.0
Sivas,SIVAS,2010,178.0
Tekirdağ,TEKIRDAG,2010,322.0
Tokat,TOKAT,2010,243.0
Tunceli,TUNCELI,2010,123.0
Uşak,USAK,2010,284.0
Van,VAN,2010,131.0
Yalova,YALOVA,2010,236.0
Yozgat,YOZGAT,2010,219.0
Zonguldak,ZONGULDAK,2010,154.0
Çanakkale,CANAKKALE,2010,369.0
Çankırı,CANKIRI,2010,268.0
Çorum,CORUM,2010,294.0
İstanbul,ISTANBUL,2010,345.0
İzmir,IZMIR,2010,293.0
Şanlıurfa,SANLIURFA,2010,248.0
Şırnak,SIRNAK,2010,282.0
Adana,ADANA,2011,359.0
Adıyaman,ADIYAMAN,2011,318.0
Afyonkarahisar,AFYONKARAHISAR,2011,222.0
Aksaray,AKSARAY,2011,275.0
Amasya,AMASYA,2011,348.0
Ankara,ANKARA,2011,257.0
Antalya,ANTALYA,2011,248.0
Ardahan,ARDAHAN,2011,108.0
Artvin,ARTVIN,2011,167.0
Aydın,AYDIN,2011,322.0
Ağrı,AGRI,2011,169.0
Balıkesir,BALIKESIR,2011,261.0
Bartın,BARTIN,2011,169.0
Batman,BATMAN,2011,270.0
Bayburt,BAYBURT,2011,216.0
Bilecik,BILECIK,2011,235.0
Bingöl,BINGOL,2011,212.0
Bitlis,BITLIS,2011,153.0
Bolu,BOLU,2011,239.0
Burdur,BURDUR,2011,262.0
Bursa,BURSA,2011,271.0
Denizli,DENIZLI,2011,322.0
Diyarbakır,DIYARBAKIR,2011,315.0
Düzce,DUZCE,2011,253.0
Edirne,EDIRNE,2011,303.0
Elazığ,ELAZIG,2011,254.0
Erzincan,ERZINCAN,2011,240.0
Erzurum,ERZURUM,2011,139.0
Eskişehir,ESKISEHIR,2011,269.0
Gaziantep,GAZIANTEP,2011,359.0
Giresun,GIRESUN,2011,141.0
Gümüşhane,GUMUSHANE,2011,120.0
Hakkari,HAKKARI,2011,145.0
Hatay,HATAY,2011,412.0
Isparta,ISPARTA,2011,188.0
Iğdır,IGDIR,2011,245.0
Kahramanmaraş,KAHRAMANMARAS,2011,256.0
Karabük,KARABUK,2011,174.0
Karaman,KARAMAN,2011,209.0
Kars,KARS,2011,107.0
Kastamonu,KASTAMONU,2011,164.0
Kayseri,KAYSERI,2011,198.0
Kilis,KILIS,2011,247.0
Kocaeli,KOCAELI,2011,209.0
Konya,KONYA,2011,335.0
Kütahya,KUTAHYA,2011,197.0
Kırklareli,KIRKLARELI,2011,324.0
Kırıkkale,KIRIKKALE,2011,237.0
Kırşehir,KIRSEHIR,2011,252.0
Malatya,MALATYA,2011,154.0
Manisa,MANISA,2011,203.0
Mardin,MARDIN,2011,306.0
Mersin,MERSIN,2011,204.0
Muğla,MUGLA,2011,261.0
Muş,MUS,2011,164.0
Nevşehir,NEVSEHIR,2011,272.0
Niğde,NIGDE,2011,241.0
Ordu,ORDU,2011,100.0
Osmaniye,OSMANIYE,2011,407.0
Sakarya,SAKARYA,2011,248.0
Samsun,SAMSUN,2011,286.0
Siirt,SIIRT,2011,230.0
Sinop,SINOP,2011,215.0
Sivas,SIVAS,2011,257.0
Tekirdağ,TEKIRDAG,2011,355.0
Tokat,TOKAT,2011,271.0
Tunceli,TUNCELI,2011,122.0
Uşak,USAK,2011,313.0
Van,VAN,2011,113.0
Yalova,YALOVA,2011,236.0
Yozgat,YOZGAT,2011,262.0
Zonguldak,ZONGULDAK,2011,161.0
Çanakkale,CANAKKALE,2011,309.0
Çankırı,CANKIRI,2011,257.0
Çorum,CORUM,2011,289.0
İstanbul,ISTANBUL,2011,378.0
İzmir,IZMIR,2011,302.0
Şanlıurfa,SANLIURFA,2011,297.0
Şırnak,SIRNAK,2011,280.0
Adana,ADANA,2012,395.0
Adıyaman,ADIYAMAN,2012,273.0
Afyonkarahisar,AFYONKARAHISAR,2012,241.0
Aksaray,AKSARAY,2012,295.0
Amasya,AMASYA,2012,293.0
Ankara,ANKARA,2012,245.0
Antalya,ANTALYA,2012,252.0
Ardahan,ARDAHAN,2012,157.0
Artvin,ARTVIN,2012,218.0
Aydın,AYDIN,2012,402.0
Ağrı,AGRI,2012,159.0
Balıkesir,BALIKESIR,2012,250.0
Bartın,BARTIN,2012,194.0
Batman,BATMAN,2012,256.0
Bayburt,BAYBURT,2012,232.0
