province,province_norm,point_id,lat,lon
Izmir,IZMIR,3,39.15004520121499,26.846226413683244
Izmir,IZMIR,4,38.236608838700086,28.431745421224274
Izmir,IZMIR,5,38.45276830562389,27.46947002778375
K.maras,KAHRAMANMARAS,1,37.88424066539054,37.62585910873673
K.maras,KAHRAMANMARAS,2,38.2819804802219,36.60602166388257
K.maras,KAHRAMANMARAS,3,38.48559275084865,36.825107522241105
K.maras,KAHRAMANMARAS,4,38.325095382563376,36.97168904611778
K.maras,KAHRAMANMARAS,5,37.58824931178763,36.616433876632506
Karabuk,KARABUK,1,40.93098062722141,32.61877220645221
Karabuk,KARABUK,2,41.082900400964185,32.670045868798695
Karabuk,KARABUK,3,41.23619428709864,32.68401859806098
Karabuk,KARABUK,4,41.064853102622294,32.58284128353919
Karabuk,KARABUK,5,40.996661534005725,32.70484669628989
Karaman,KARAMAN,1,37.25070263551575,33.78723870682375
Karaman,KARAMAN,2,37.39503858258736,33.63927096317989
Karaman,KARAMAN,3,37.45620256594221,33.50501564482649
Karaman,KARAMAN,4,37.23505543170673,33.04545979702137
Karaman,KARAMAN,5,37.43379367031338,33.61397142712854
Kars,KARS,1,40.86910437635194,43.5185157161781
Kars,KARS,2,40.272345185594325,42.77787897896948
Kars,KARS,3,40.759204943928296,43.30898769249515
Kars,KARS,4,40.40134547587676,43.35296963571894
Kars,KARS,5,40.412019866037234,43.55024960510859
Kastamonu,KASTAMONU,1,41.90947608800269,34.02984101572086
Kastamonu,KASTAMONU,2,41.78070805602453,32.81152014168294
Kastamonu,KASTAMONU,3,41.27502222540977,33.27661209672997
Kastamonu,KASTAMONU,4,41.776358208626874,33.789051389850194
Kastamonu,KASTAMONU,5,41.568936838421706,34.362314115197556
Kayseri,KAYSERI,1,38.462015261833194,35.18716099730193
Kayseri,KAYSERI,2,38.14134067117518,35.42006509334529
Kayseri,KAYSERI,3,38.79926359898656,36.77982985232277
Kayseri,KAYSERI,4,38.43175850748637,35.21837584580599
Kayseri,KAYSERI,5,38.65898166456694,35.6124821958984
Kilis,KILIS,1,36.795788559653985,37.27069969666981
Kilis,KILIS,2,36.96672050501569,36.943646774884996
Kilis,KILIS,3,36.77970383872808,36.90085068152147
Kilis,KILIS,4,36.71982109872008,37.13971497636223
Kilis,KILIS,5,36.85689562736479,37.21433266925714
Kirikkale,KIRIKKALE,1,39.932436710027986,33.491613441821016
Kirikkale,KIRIKKALE,2,40.102452805241114,33.870304681392064
Kirikkale,KIRIKKALE,3,40.25415522266336,33.696230620760026
Kirikkale,KIRIKKALE,4,39.72925418694829,33.797815797614334
Kirikkale,KIRIKKALE,5,39.984716326607334,33.82502439638471
Kirklareli,KIRKLARELI,1,41.86057262990483,27.799843059852716
Kirklareli,KIRKLARELI,2,41.9644995266105,27.77450683553199
Kirklareli,KIRKLARELI,3,41.495885870567356,27.75699932063395
Kirklareli,KIRKLARELI,4,41.735449560752585,27.476793847156166
Kirklareli,KIRKLARELI,5,41.884076141641806,27.278126954854148
Kirsehir,KIRSEHIR,1,39.77243500528879,34.106696751859054
Kirsehir,KIRSEHIR,2,39.714521742118855,34.09570184816172
Kirsehir,KIRSEHIR,3,39.05901610943972,34.48075706667132
Kirsehir,KIRSEHIR,4,39.28354746724457,34.47332532581489
Kirsehir,KIRSEHIR,5,39.547851243145,34.449934006754674
Kocaeli,KOCAELI,1,40.60936497587969,29.68600339166486
Kocaeli,KOCAELI,2,40.99205642128932,29.805805620099946
Kocaeli,KOCAELI,3,40.9314825951875,30.0303543615608
Kocaeli,KOCAELI,4,40.57371262818552,29.564882821319046
Kocaeli,KOCAELI,5,41.154394439090694,30.186739820185455
Konya,KONYA,1,37.78649392014599,32.20658069235637
Konya,KONYA,2,37.99815809306969,32.21355636856754
Konya,KONYA,3,37.90031660195115,31.672351900640916
Konya,KONYA,4,37.813679341822855,34.27188966014422
Konya,KONYA,5,37.010219375828854,32.56811296057824
Kutahya,KUTAHYA,1,39.2182975159576,29.524779161173427
Kutahya,KUTAHYA,2,39.257085382037275,29.313542568540278
Kutahya,KUTAHYA,3,39.84489901912507,29.622771071085218
Kutahya,KUTAHYA,4,39.20732536133038,29.292464404633662
Kutahya,KUTAHYA,5,38.903794822775914,28.99225061008091
Malatya,MALATYA,1,38.19961848259645,38.73212922010308
Malatya,MALATYA,2,38.60029788730263,37.482368187917686
Malatya,MALATYA,3,38.305702726981,38.88890154176167
Malatya,MALATYA,4,39.01963017692526,37.52327285979525
Malatya,MALATYA,5,38.113403979557475,37.718243498369816
Manisa,MANISA,1,38.500592644228945,27.59865123211582
Manisa,MANISA,2,38.77236196726038,28.581408018030707
