province_norm,harvest_year,tmean,tmax_mean,tmin_mean,rain_sum,rad_mean,tmean_std,tmax_p95,tmin_p05,hot_days_30,frost_days_0,dry_days_lt1mm,index,mam_tmean,mam_tmax_mean,mam_tmin_mean,mam_rain_sum,mam_rad_mean,mam_tmean_std,mam_tmax_p95,mam_tmin_p05,mam_hot_days_30,mam_frost_days_0,mam_dry_days_lt1mm
ISTANBUL,2012,12.614163934426228,16.04645901639344,9.639947540983608,518.664,14.049232786885245,8.027362623970673,31.170800000000003,-0.45640000000000003,26.0,20.0,225.0,767,12.51282608695652,16.3855,9.066434782608697,166.18200000000002,17.215804347826086,5.216303462757486,23.4744,0.9494,0.0,2.0,65.0
ISTANBUL,2013,14.186723684210527,17.502032894736843,11.282572368421052,567.378,13.843256578947367,6.908678795231027,28.5356,1.4118,7.0,5.0,201.0,768,13.605391304347828,17.434521739130435,10.143652173913045,110.886,17.57576086956522,5.10072556561787,25.8851,2.0141,0.0,2.0,69.0
ISTANBUL,2014,13.743697368421053,17.293809210526316,10.753598684210527,411.11600000000004,13.599993421052629,6.298874930228392,29.058899999999998,2.3929,12.0,1.0,211.0,769,13.601021739130436,17.375673913043478,10.109434782608696,169.42599999999996,16.876847826086955,4.123720474155925,24.4875,3.6605,0.0,0.0,54.0
ISTANBUL,2015,13.024217105263158,16.205625,10.24221052631579,666.75,13.298375,6.639903342787049,28.2485,1.2506,6.0,7.0,192.0,770,12.100347826086955,15.746217391304349,8.87286956521739,175.38400000000001,17.127152173913043,4.816705860877847,23.7806,2.0978,0.0,0.0,62.0
ISTANBUL,2016,14.144537704918035,17.54304918032787,11.201554098360656,569.678,14.104518032786887,6.636439194598753,29.938,1.3972000000000007,14.0,10.0,219.0,771,13.827847826086959,17.580739130434782,10.42213043478261,154.468,17.766391304347827,4.141419380125989,24.105000000000004,3.9808,0.0,0.0,65.0
ISTANBUL,2017,12.360815789473685,15.784315789473686,9.377072368421054,646.496,13.782335526315789,7.281426289597319,28.980699999999995,-0.30579999999999996,12.0,19.0,202.0,772,12.053608695652175,16.06434782608696,8.5435,128.93800000000002,17.852043478260867,3.7892480304681926,21.6276,3.7685,0.0,0.0,67.0
ISTANBUL,2018,14.124684210526317,17.47170394736842,11.210013157894737,757.6759999999999,13.545236842105261,6.401257430538713,28.925099999999997,2.6481,5.0,2.0,186.0,773,13.992869565217392,17.86504347826087,10.704739130434785,171.222,16.548891304347826,4.222309209392757,24.467100000000002,4.6787,0.0,1.0,60.0
ISTANBUL,2019,13.425000000000002,16.634651315789473,10.61375,633.076,13.569098684210525,6.95686532725179,28.594500000000004,1.7345000000000002,5.0,4.0,192.0,774,12.81623913043478,16.636391304347825,9.450695652173913,116.65599999999999,18.024000000000004,4.716985392698975,24.8436,3.8870999999999998,0.0,0.0,67.0
ISTANBUL,2020,14.05112786885246,17.474340983606556,11.084767213114755,534.488,14.202340983606558,6.368320708379877,28.5908,3.1195999999999997,8.0,2.0,210.0,775,12.46508695652174,16.21632608695652,9.084326086956523,149.48200000000003,17.337999999999997,4.123571805112155,25.140700000000002,3.7726,0.0,0.0,68.0
ISTANBUL,2021,13.942032894736844,17.172690789473684,11.080342105263158,629.5120000000001,13.642098684210527,6.798370642415257,30.120599999999985,0.9492999999999999,16.0,10.0,198.0,776,11.782130434782607,15.235021739130435,8.603717391304347,169.88,17.076652173913043,4.883779061020856,23.544100000000004,2.1637,0.0,0.0,58.0
ISTANBUL,2022,12.929243421052632,16.27415131578947,10.009710526315791,570.95,14.054263157894738,6.863469279774772,27.964299999999998,0.38770000000000004,3.0,13.0,209.0,777,11.335173913043478,15.137695652173914,7.934021739130436,115.35799999999998,18.060695652173912,5.82015223661151,25.9884,0.2840999999999999,0.0,4.0,68.0
