province_norm,harvest_year,yield_kg_dekar,tmean,tmax_mean,tmin_mean,rain_sum,rad_mean,tmean_std,tmax_p95,tmin_p05,hot_days_30,frost_days_0,dry_days_lt1mm,index,mam_tmean,mam_tmax_mean,mam_tmin_mean,mam_rain_sum,mam_rad_mean,mam_tmean_std,mam_tmax_p95,mam_tmin_p05,mam_hot_days_30,mam_frost_days_0,mam_dry_days_lt1mm,ndvi_auc,ndvi_max,ndvi_mean,evi_max,evi_mean
ORDU,2006,134.0,6.412611842105262,11.810092105263156,1.905375,663.4760000000001,12.912072368421052,7.690496887086578,24.948699999999988,-11.5127,0.0,115.0,188.0,1221,7.80845652173913,13.358891304347829,2.815065217391304,195.28,15.84804347826087,4.649640658248346,22.263300000000005,-3.467,0.0,24.0,54.0,183.9740046947,0.7509846237494315,0.607174932985808,0.545225282536574,0.3735784325341034
ORDU,2007,127.0,6.813203947368421,12.65491447368421,1.9943815789473684,510.862,14.204177631578949,8.385259751896958,28.1197,-9.2739,9.0,150.0,199.0,1222,7.230391304347826,13.072195652173916,2.0451521739130434,150.062,17.16271739130435,6.784556692631284,26.7524,-4.2073,0.0,44.0,58.0,188.33417143529755,0.7462058612585671,0.6215649222287046,0.5587001168937733,0.4036858477345948
ORDU,2008,121.0,5.938786885245902,11.652708196721312,1.1055737704918034,717.3040000000001,14.228360655737706,8.757211618211771,24.8384,-12.934,3.0,115.0,200.0,1223,8.64941304347826,14.46863043478261,3.4135000000000004,156.89400000000003,17.031195652173913,4.200418174242812,23.68,-1.6237,0.0,13.0,57.0,189.1808742942155,0.7509213998240941,0.6223055075467627,0.5455679794292865,0.3942783027864789
ORDU,2009,102.0,6.54675,11.90346052631579,2.037684210526316,699.64,13.731315789473683,7.566416936531171,25.124,-10.0447,1.0,121.0,168.0,1224,6.093999999999999,11.592478260869568,1.0877608695652177,178.07,17.401304347826088,4.8419590531651,21.3768,-6.3139,0.0,35.0,50.0,184.414647071578,0.7625604143680182,0.6086291982560331,0.5882970386622963,0.3916831326580873
ORDU,2010,103.0,8.395559210526315,13.738947368421051,3.836381578947369,706.2180000000001,13.467894736842108,7.43376475673859,27.0066,-6.1409,4.0,87.0,186.0,1225,7.917565217391305,13.387347826086955,2.813282608695652,185.194,17.76989130434783,4.853186856698351,21.7201,-5.8864,0.0,19.0,57.0,190.39587295665092,0.7741506400036126,0.6283692176787162,0.5729243122881842,0.4111599434107971
ORDU,2011,100.0,7.182375,12.665447368421052,2.74933552631579,706.764,12.517401315789474,7.199649894598034,24.399399999999996,-8.2845,5.0,104.0,177.0,1226,6.1835,11.309956521739132,1.6885434782608697,231.67400000000004,13.83326086956522,5.046952893132104,19.9123,-5.805899999999999,0.0,35.0,43.0,190.01141281934176,0.8017981294635939,0.627100372341062,0.6270269411394223,0.4162534688288501
ORDU,2012,125.0,5.396091803278688,10.70695081967213,0.7781508196721312,702.19,14.127081967213115,9.19083713998076,26.1128,-12.9348,7.0,149.0,172.0,1227,6.767195652173913,12.073152173913046,1.747152173913044,181.616,17.146739130434785,7.280358275568602,20.8018,-10.7197,0.0,33.0,49.0,198.9261350522721,0.7770859278944399,0.6543622863561578,0.5691904854357206,0.4414286149246152
ORDU,2013,90.0,7.821552631578947,13.150144736842106,3.258098684210527,676.528,13.905888157894736,7.39118207366492,25.2779,-8.5858,1.0,98.0,190.0,1228,8.775282608695651,14.439847826086956,3.6375869565217394,147.67000000000002,17.34804347826087,5.608647174501696,22.884400000000003,-5.7255,0.0,18.0,61.0,184.19328798883296,0.755334476890212,0.6078986402271717,0.5561644820334349,0.3873477884408028
ORDU,2014,70.0,7.997736842105263,14.223131578947369,3.0418552631578955,419.622,14.06375,7.504807769243103,27.5849,-8.8792,6.0,96.0,212.0,1229,9.555543478260873,15.9335,3.875195652173913,129.648,16.2404347826087,4.859419086190419,25.0817,-3.7829,0.0,18.0,55.0,176.47944858706688,0.7551469464102101,0.5824404243797576,0.5605100713878265,0.3672916294939818
ORDU,2015,69.0,6.719723684210528,11.874434210526314,2.410203947368421,771.108,12.525789473684211,7.23598108118215,24.593499999999967,-7.981899999999999,4.0,113.0,186.0,1230,6.822913043478261,12.036347826086956,2.053826086956522,234.626,15.418152173913043,5.357301439869722,22.1834,-4.4805,0.0,35.0,50.0,188.9797016104223,0.7818121771206513,0.6236953848528795,0.5882842049305498,0.3960085771385147
ORDU,2016,79.0,7.03280655737705,12.140937704918034,2.577665573770492,976.056,13.513409836065572,7.715317121255341,24.1316,-9.8544,0.0,107.0,163.0,1231,8.18808695652174,13.753630434782607,3.0878913043478264,267.956,16.88847826086957,4.875946992049703,21.0381,-5.8671,0.0,22.0,47.0,185.58883608635543,0.7710231513871518,0.6104895923893272,0.5917844672920068,0.3922822196852293
ORDU,2017,115.0,5.543217105263159,11.104625000000002,0.6040986842105266,730.194,14.053223684210527,8.881731945704622,26.1516,-13.7277,8.0,142.0,190.0,1232,7.059543478260869,12.618152173913042,1.943326086956522,213.84,16.534891304347827,4.555561760544228,20.8685,-3.7065,0.0,31.0,50.0,195.7467223094004,0.7992789705064071,0.6460287864996711,0.5906406994535556,0.4277761786926122
ORDU,2018,120.0,8.573690789473684,14.169486842105265,3.9289144736842094,733.298,13.869638157894736,7.209375097067146,27.5692,-6.5705,6.0,97.0,187.0,1233,10.212717391304349,15.91669565217391,4.884739130434782,203.682,17.871086956521744,4.437608331012825,22.4123,-1.2458,0.0,12.0,59.0,187.29751686251623,0.7858718779901348,0.6181436200083048,0.5927479972160091,0.4016255906837752
ORDU,2019,114.0,7.2721447368421055,12.57616447368421,2.7873355263157893,717.66,13.281644736842106,7.976593415339382,25.7958,-9.6457,1.0,131.0,179.0,1234,7.5650652173913056,13.014847826086958,2.7116086956521737,162.328,16.9045652173913,6.130805224356475,25.045500000000004,-4.3971,0.0,36.0,56.0,194.6722018934144,0.7908813755245224,0.6424825144997168,0.5952141666249279,0.4262730506302387
